name,dept,adjustedcount,homepage,scholarid,profile_url,image_url,affiliation_from_scholar,keywords,top_papers
Dan Roth,University of Pennsylvania,72.813333,http://www.cis.upenn.edu/~danroth,WHOHV3AAAAAJ,https://scholar.google.com/citations?user=WHOHV3AAAAAJ,,,,
Tuomas Sandholm,Carnegie Mellon University,72.47024,http://www.cs.cmu.edu/~sandholm,0DpK1EMAAAAJ,https://scholar.google.com/citations?user=0DpK1EMAAAAJ,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=0DpK1EMAAAAJ&citpid=3,"Angel Jordan University Professor of Computer Science, Carnegie Mellon University",Artificial intelligence; auctions; market design; game theory; mechanism design,Algorithm for optimal winner determination in combinatorial auctions (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=0DpK1EMAAAAJ&citation_for_view=0DpK1EMAAAAJ:u-x6o8ySG0sC); Superhuman AI for multiplayer poker (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=0DpK1EMAAAAJ&citation_for_view=0DpK1EMAAAAJ:qsWQJNntlusC); Coalition structure generation with worst case guarantees (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=0DpK1EMAAAAJ&citation_for_view=0DpK1EMAAAAJ:CdxZDUztZiMC)
Dinesh Manocha,University of Maryland - College Park,72.22844,https://www.cs.unc.edu/~dm,X08l_4IAAAAJ,https://scholar.google.com/citations?user=X08l_4IAAAAJ,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=X08l_4IAAAAJ&citpid=3,"Distinguished University Professor, University of Maryland at College Park",computer graphics; geometric modeling; motion planning; virtual reality; robotics,OBBTree: A hierarchical structure for rapid interference detection (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=X08l_4IAAAAJ&citation_for_view=X08l_4IAAAAJ:u5HHmVD_uO8C); Reciprocal n-Body Collision Avoidance (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=X08l_4IAAAAJ&citation_for_view=X08l_4IAAAAJ:10ZmGoIvuzkC); Reciprocal velocity obstacles for real-time multi-agent navigation (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=X08l_4IAAAAJ&citation_for_view=X08l_4IAAAAJ:Wp0gIr-vW9MC)
Eric P. Xing,MBZUAI,71.597056,http://www.cs.cmu.edu/~epxing,5pKTRxEAAAAJ,https://scholar.google.com/citations?user=5pKTRxEAAAAJ,/citations/images/avatar_scholar_128.png,"President at Mohamed bin Zayed University of AI, Professor of Computer Science, Carnegie Mellon U",Machine Learning; ML Systems; Statistics; Network Analysis; AI4Science,Distance metric learning with application to clustering with side-information (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=5pKTRxEAAAAJ&citation_for_view=5pKTRxEAAAAJ:u5HHmVD_uO8C); Judging llm-as-a-judge with mt-bench and chatbot arena (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=5pKTRxEAAAAJ&citation_for_view=5pKTRxEAAAAJ:DwWRdx-KAo4C); Theoretically principled trade-off between robustness and accuracy (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=5pKTRxEAAAAJ&citation_for_view=5pKTRxEAAAAJ:4n0clTBhZ78C)
David P. Woodruff,Carnegie Mellon University,71.47939,http://www.cs.cmu.edu/~dwoodruf,kMmxbbIAAAAJ,https://scholar.google.com/citations?user=kMmxbbIAAAAJ,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=kMmxbbIAAAAJ&citpid=4,"Professor of Computer Science, Carnegie Mellon University",algorithms; machine learning; optimization; theoretical computer science,Sketching as a tool for numerical linear algebra (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=kMmxbbIAAAAJ&citation_for_view=kMmxbbIAAAAJ:D_sINldO8mEC); Low-rank approximation and regression in input sparsity time (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=kMmxbbIAAAAJ&citation_for_view=kMmxbbIAAAAJ:ILKRHgRFtOwC); Fast approximation of matrix coherence and statistical leverage (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=kMmxbbIAAAAJ&citation_for_view=kMmxbbIAAAAJ:hFOr9nPyWt4C)
Alan L. Yuille,Johns Hopkins University,69.798953,http://www.cs.jhu.edu/~ayuille,FJ-huxgAAAAJ,https://scholar.google.com/citations?user=FJ-huxgAAAAJ,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=FJ-huxgAAAAJ&citpid=2,"Professor of Cognitive Science and Computer Science, Johns Hopkins University",Computer Vision; Computational Models of Mind and Brain; Machine Learning,"Deeplab: Semantic image segmentation with deep convolutional nets, atrous convolution, and fully connected crfs (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=FJ-huxgAAAAJ&citation_for_view=FJ-huxgAAAAJ:F2UWTTQJPOcC); Transunet: Transformers make strong encoders for medical image segmentation (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=FJ-huxgAAAAJ&citation_for_view=FJ-huxgAAAAJ:6pF0wJmtdfAC); Feature extraction from faces using deformable templates (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=FJ-huxgAAAAJ&citation_for_view=FJ-huxgAAAAJ:u-x6o8ySG0sC)"
Moshe Y. Vardi,Rice University,69.055,http://www.cs.rice.edu/~vardi,DQaARsgAAAAJ,https://scholar.google.com/citations?user=DQaARsgAAAAJ,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=DQaARsgAAAAJ&citpid=2,Rice University,Logic and Computation,Reasoning about knowledge (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=DQaARsgAAAAJ&citation_for_view=DQaARsgAAAAJ:0sTkTiv_uMkC); An automata-theoretic approach to automatic program verification (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=DQaARsgAAAAJ&citation_for_view=DQaARsgAAAAJ:u5HHmVD_uO8C); The complexity of relational query languages (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=DQaARsgAAAAJ&citation_for_view=DQaARsgAAAAJ:u-x6o8ySG0sC)
Pieter Abbeel,Univ. of California - Berkeley,68.74587,https://people.eecs.berkeley.edu/~pabbeel,vtwH6GkAAAAJ,https://scholar.google.com/citations?user=vtwH6GkAAAAJ,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=vtwH6GkAAAAJ&citpid=3,UC Berkeley | Covariant,Robotics; Machine Learning; AI,Denoising diffusion probabilistic models (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=vtwH6GkAAAAJ&citation_for_view=vtwH6GkAAAAJ:BOlwja0KXvYC); Model-agnostic meta-learning for fast adaptation of deep networks (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=vtwH6GkAAAAJ&citation_for_view=vtwH6GkAAAAJ:DJbcl8HfkQkC); Soft actor-critic: Off-policy maximum entropy deep reinforcement learning with a stochastic actor (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=vtwH6GkAAAAJ&citation_for_view=vtwH6GkAAAAJ:jL-93Qbq4QoC)
Yoshua Bengio,University of Montreal,67.657382,http://www.iro.umontreal.ca/~bengioy,kukA0LcAAAAJ,https://scholar.google.com/citations?user=kukA0LcAAAAJ,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=kukA0LcAAAAJ&citpid=3,"Professor of computer science, University of Montreal, Mila, IVADO, CIFAR",Machine learning; deep learning; artificial intelligence,Generative adversarial nets (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=kukA0LcAAAAJ&citation_for_view=kukA0LcAAAAJ:i8eIfGGcn98C); Deep learning (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=kukA0LcAAAAJ&citation_for_view=kukA0LcAAAAJ:naSTrk-c4S8C); Deep learning (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=kukA0LcAAAAJ&citation_for_view=kukA0LcAAAAJ:orDZ08hpP44C)
Martial Hebert,Carnegie Mellon University,67.246896,http://www.cs.cmu.edu/~./hebert,0ytii2EAAAAJ,https://scholar.google.com/citations?user=0ytii2EAAAAJ,/citations/images/avatar_scholar_128.png,CMU,Computer Vision; Robotics,Using spin images for efficient object recognition in cluttered 3D scenes (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=0ytii2EAAAAJ&citation_for_view=0ytii2EAAAAJ:u5HHmVD_uO8C); Autonomous driving in urban environments: Boss and the urban challenge (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=0ytii2EAAAAJ&citation_for_view=0ytii2EAAAAJ:Y0pCki6q_DkC); Cross-stitch networks for multi-task learning (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=0ytii2EAAAAJ&citation_for_view=0ytii2EAAAAJ:z8nqeaKD1nsC)
Leonidas J. Guibas,Stanford University,63.72805,https://profiles.stanford.edu/leonidas-guibas,5JlEyTAAAAAJ,https://scholar.google.com/citations?user=5JlEyTAAAAAJ,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=5JlEyTAAAAAJ&citpid=2,"Professor of Computer Science, Stanford University",geometric computing; computer vision; computer graphics; machine learning; robotics,Pointnet: Deep learning on point sets for 3d classification and segmentation (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=5JlEyTAAAAAJ&citation_for_view=5JlEyTAAAAAJ:bVQMTfhMCi4C); Pointnet++: Deep hierarchical feature learning on point sets in a metric space (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=5JlEyTAAAAAJ&citation_for_view=5JlEyTAAAAAJ:J3LtWjKFLicC); The earth mover's distance as a metric for image retrieval (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=5JlEyTAAAAAJ&citation_for_view=5JlEyTAAAAAJ:L8Ckcad2t8MC)
Ming-Hsuan Yang 0001,Univ. of California - Merced,63.53789,https://faculty.ucmerced.edu/mhyang,p9-ohHsAAAAJ,https://scholar.google.com/citations?user=p9-ohHsAAAAJ,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=p9-ohHsAAAAJ&citpid=2,University of California at Merced; Google DeepMind,Computer Vision; Machine Learning; Artificial Intelligence,Online object tracking: A benchmark (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=p9-ohHsAAAAJ&citation_for_view=p9-ohHsAAAAJ:q736b1r0g6UC); Detecting Faces in Images: A Survey (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=p9-ohHsAAAAJ&citation_for_view=p9-ohHsAAAAJ:2hszv8GT5-sC); Incremental learning for robust visual tracking (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=p9-ohHsAAAAJ&citation_for_view=p9-ohHsAAAAJ:S16KYo8Pm5AC)
Mubarak Shah,University of Central Florida,63.36485,https://www.crcv.ucf.edu/person/mubarak-shah,p8gsO3gAAAAJ,https://scholar.google.com/citations?user=p8gsO3gAAAAJ,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=p8gsO3gAAAAJ&citpid=4,"Trustee Chair Professor of Computer Science, University of Central Florida",Computer Vision,Object tracking: A survey (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=p8gsO3gAAAAJ&citation_for_view=p8gsO3gAAAAJ:Vr2j17o0sqMC); UCF101: A dataset of 101 human actions classes from videos in the wild (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=p8gsO3gAAAAJ&citation_for_view=p8gsO3gAAAAJ:mWEH9CqjF64C); Transformers in vision: A survey (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=p8gsO3gAAAAJ&citation_for_view=p8gsO3gAAAAJ:zGWyAL6qfKUC)
Tong Zhang 0001,HKUST,62.86042,http://tongzhang-ml.org,LurWtuYAAAAJ,https://scholar.google.com/citations?user=LurWtuYAAAAJ,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=LurWtuYAAAAJ&citpid=5,UIUC,Machine Learning,Accelerating stochastic gradient descent using predictive variance reduction (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=LurWtuYAAAAJ&citation_for_view=LurWtuYAAAAJ:tVzLobxzA7YC); A framework for learning predictive structures from multiple tasks and unlabeled data. (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=LurWtuYAAAAJ&citation_for_view=LurWtuYAAAAJ:u-x6o8ySG0sC); Solving large scale linear prediction problems using stochastic gradient descent algorithms (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=LurWtuYAAAAJ&citation_for_view=LurWtuYAAAAJ:eQOLeE2rZwMC)
Jitendra Malik,Univ. of California - Berkeley,62.36426,https://people.eecs.berkeley.edu/~malik,oY9R5YQAAAAJ,https://scholar.google.com/citations?user=oY9R5YQAAAAJ,,,,
Yoshihiko Nakamura,MBZUAI,62.05333,https://mbzuai.ac.ae/study/faculty/yoshihiko-nakamura,gkFd-RcAAAAJ,https://scholar.google.com/citations?user=gkFd-RcAAAAJ,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=gkFd-RcAAAAJ&citpid=2,"Professor, Mohamed bin Zayed University of Artificial Intelligence",Robotics; Humanoid; Bio-Medical; Neuro; Cognitive,Advanced robotics: redundancy and optimization (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=gkFd-RcAAAAJ&citation_for_view=gkFd-RcAAAAJ:7Frjd3zlGBUC); Inverse kinematic solutions with singularity robustness for robot manipulator control (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=gkFd-RcAAAAJ&citation_for_view=gkFd-RcAAAAJ:Azgs6IHzeyYC); Task-priority based redundancy control of robot manipulators (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=gkFd-RcAAAAJ&citation_for_view=gkFd-RcAAAAJ:6VlyvFCUEfcC)
Gerd Hirzinger,TU Munich,61.22246,http://www6.in.tum.de/Main/Hirzinge,NOSCHOLARPAGE,https://scholar.google.com/citations?user=NOSCHOLARPAGE,,,,
Daniel Klein 0001,Univ. of California - Berkeley,60.69991,https://www2.eecs.berkeley.edu/Faculty/Homepages/klein.html,jJRiZR8AAAAJ,https://scholar.google.com/citations?user=jJRiZR8AAAAJ,/citations/images/avatar_scholar_128.png,UC Berkeley,,Feature-rich part-of-speech tagging with a cyclic dependency network (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=jJRiZR8AAAAJ&citation_for_view=jJRiZR8AAAAJ:hkOj_22Ku90C); Accurate unlexicalized parsing (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=jJRiZR8AAAAJ&citation_for_view=jJRiZR8AAAAJ:_B80troHkn4C); Neural module networks (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=jJRiZR8AAAAJ&citation_for_view=jJRiZR8AAAAJ:SP6oXDckpogC)
Song-Chun Zhu,Peking University,60.233447,http://www.stat.ucla.edu/~sczhu,Al8dyb4AAAAJ,https://scholar.google.com/citations?user=Al8dyb4AAAAJ,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=Al8dyb4AAAAJ&citpid=2,"Chair Professor, PKU,  Director BIGAI",Computer Vision; Learning; Cognition; Robot Autonomy; Artificial Intelligence,"Region competition: Unifying snakes, region growing, and Bayes/MDL for multiband image segmentation (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=Al8dyb4AAAAJ&citation_for_view=Al8dyb4AAAAJ:BqipwSGYUEgC); Learn to explain: Multimodal reasoning via thought chains for science question answering (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=Al8dyb4AAAAJ&citation_for_view=Al8dyb4AAAAJ:IHkkN1K1AlAC); Visual interpretability for deep learning: a survey (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=Al8dyb4AAAAJ&citation_for_view=Al8dyb4AAAAJ:0aBXIfxlw9sC)"
Kang G. Shin,University of Michigan,59.68037,http://web.eecs.umich.edu/~kgshin,vY7MdLYAAAAJ,https://scholar.google.com/citations?user=vY7MdLYAAAAJ,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=vY7MdLYAAAAJ&citpid=4,"Kevin & Nancy O'Connor Professor of Computer Science, University of Michigan",Real-time embedded systems; cyber-physical systems; computer networks; security and privacy; mobile and wireless computing and c,Real-time dynamic voltage scaling for low-power embedded operating systems (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=vY7MdLYAAAAJ&citation_for_view=vY7MdLYAAAAJ:u5HHmVD_uO8C); Minimum-time control of robotic manipulators with geometric path constraints (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=vY7MdLYAAAAJ&citation_for_view=vY7MdLYAAAAJ:PRLG7g5oK-wC); Efficient discovery of spectrum opportunities with MAC-layer sensing in cognitive radio networks (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=vY7MdLYAAAAJ&citation_for_view=vY7MdLYAAAAJ:YsMSGLbcyi4C)
Yi Yang 0001,Zhejiang University,59.61605,https://person.zju.edu.cn/yiyang,RMSuNFwAAAAJ,https://scholar.google.com/citations?user=RMSuNFwAAAAJ,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=RMSuNFwAAAAJ&citpid=9,Zhejiang University,multimedia; computer vision; machine learning,Random erasing data augmentation (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=RMSuNFwAAAAJ&citation_for_view=RMSuNFwAAAAJ:9DLIHnF0jcYC); Beyond part models: Person retrieval with refined part pooling (and a strong convolutional baseline) (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=RMSuNFwAAAAJ&citation_for_view=RMSuNFwAAAAJ:lg2tdxc6qMwC); Unlabeled samples generated by gan improve the person re-identification baseline in vitro (https://scholar.google.com/citations?view_op=view_citation&hl=ko&user=RMSuNFwAAAAJ&citation_for_view=RMSuNFwAAAAJ:X0DADzN9RKwC)
